x1,x2
6.6810093,-1.0240791
6.080668,-0.7603829
-2.2836177,-4.5775533
6.349829,-1.2365471
1.518594,-0.44002363
4.9040313,-3.5416112
-1.8195268,-4.1629496
9.425085,-6.463476
-1.8186612,-4.164209
5.798651,2.6173172
10.519831,-7.410249
4.5225525,1.7524395
5.949097,-7.26551
6.95677,-7.4942
2.747672,0.31676164
7.015907,-6.5833864
2.003301,2.7005126
1.6721156,2.3764536
2.9332983,-2.030938
4.8337994,-4.337641
8.153323,-6.660901
8.903875,-7.2599597
0.7480453,-2.7419846
1.6917,1.2458963
7.5900774,-6.63381
5.22907,-5.2447095
6.349557,-5.0407677
6.7340465,-3.8529568
4.6140056,3.2151172
6.1535454,2.566925
4.3043556,2.6796827
8.558027,-8.186164
1.389858,-3.332631
2.5585995,2.892547
7.9292564,-5.090701
10.125003,-8.11594
2.746499,2.1701536
6.7698555,-6.3529115
1.3255916,4.0907006
9.576502,-7.5849795
8.209455,-7.8356724
6.42462,-5.879298
1.167598,0.33568394
2.4931207,2.345869
8.304013,-7.0981917
2.9423609,-2.0106654
8.652807,-8.609657
5.83081,-8.816336
5.900763,2.5924363
4.334523,2.9355195
3.1610298,2.517683
8.8439245,-6.516699
5.895581,-5.952073
7.5471764,-6.3353257
6.879505,-5.629966
2.8947024,3.1553972
7.673523,-4.9757657
8.443621,-8.091565
8.039244,-8.450237
6.7746515,-3.9634552
5.5123224,-4.0493755
0.50680524,4.678649
9.962231,-8.480417
5.4660487,-4.5049486
3.3730655,4.005099
2.3616726,1.7518431
9.569944,-7.4198527
5.677599,-6.331383
7.3899508,-5.3089128
5.740306,-8.9742775
-1.5017095,-4.230611
6.231973,-5.525608
1.527365,-3.3765347
5.4983387,-3.959269
1.4428531,4.139599
4.0762773,3.785402
2.8151758,-0.28226095
2.4108837,0.90206826
6.4158206,-4.7596188
-1.8232965,-4.161859
7.18981,-7.333504
6.9013968,-5.436034
0.66981673,-4.0825977
5.7506905,-4.856147
6.282988,-2.7092166
10.56883,-8.004817
5.976746,-2.9446626
9.420087,-6.987205
2.2286592,3.5287812
-0.25749,2.6384273
0.1269573,-4.0501757
0.8824734,-3.1010988
-1.8186615,-4.164209
-1.6735315,-3.8556128
0.90131366,1.7794728
2.9169836,1.6800634
1.0606955,1.1867265
1.7431132,2.127802
-1.1390458,-4.04204
0.25220707,3.1221898
0.74539024,1.5992092
-0.24245007,1.3867205
1.0996894,2.0047424
0.532554,1.0132335
0.09690213,1.1393
0.9854507,0.2619353
1.6886084,1.9830531
1.0899954,2.691814
-0.056705248,1.6777874
