EVENT_TYPE
\giant\event\extended_challenge_team_viewed
\core\event\user_login_failed
\core\event\user_loggedin
\core\event\dashboard_viewed
\core\event\course_viewed
\core\event\user_profile_viewed
\mod_scorm\event\course_module_viewed
\mod_scorm\event\sco_launched
\giant\event\collaborative_wall_viewed
\mod_lesson\event\lesson_started
\mod_lesson\event\course_module_viewed
\mod_lesson\event\content_page_viewed
\core_h5p\event\h5p_viewed
\core\event\user_loggedout
\core\event\user_password_updated
\mod_forum\event\course_module_viewed
\mod_forum\event\discussion_viewed
\giant\event\resource_liked
\giant\event\resource_commented
\giant\event\extended_challenge_selected
\core\event\user_graded
\core\event\course_module_completion_updated
\mod_scorm\event\status_submitted
\giant\event\resource_created
\giant\event\resource_Scored
\core\event\message_sent
\core\event\message_viewed
\core\event\notification_sent
\core\event\notification_viewed
\core\event\message_contact_added
\giant\event\note_created
\mod_page\event\course_module_viewed
\mod_lesson\event\lesson_ended
\core\event\course_category_viewed
\mod_lesson\event\page_created
\mod_lesson\event\page_updated
\core\event\grade_item_updated
\core\event\course_module_updated
\core\event\email_failed
\mod_lesson\event\lesson_resumed
\giant\event\brief_section_updated
\gradereport_overview\event\grade_report_viewed
\core\event\course_user_report_viewed
\core\event\user_updated
\mod_forum\event\assessable_uploaded
\mod_forum\event\discussion_created
\mod_forum\event\post_updated
\giant\event\resource_unliked
\mod_scorm\event\report_viewed
\mod_lesson\event\lesson_restarted
\mod_forum\event\user_report_viewed
\giant\event\file_created
\core\event\calendar_event_created
\core\event\user_list_viewed
\report_outline\event\activity_report_viewed
\report_participation\event\report_viewed
\report_log\event\report_viewed
\report_loglive\event\report_viewed
\giant\event\challenge_created
\giant\event\challenge_updated
\core\event\dashboard_reset
\core\event\user_created
\core\event\role_assigned
\core\event\config_log_created
\core\event\dashboards_reset
\mod_scorm\event\attempt_deleted
\giant\event\note_commented
\core\event\course_updated
\core\event\blog_entries_viewed
\core\event\course_module_created
\core\event\grade_item_created
\mod_assign\event\course_module_viewed
\mod_assign\event\submission_status_viewed
\block_xp\event\user_leveledup
\mod_url\event\course_module_viewed
\core\event\role_unassigned
\core\event\user_enrolment_created
\mod_assign\event\submission_form_viewed
\gradereport_grader\event\grade_report_viewed
\tool_langimport\event\langpack_updated
\tool_recyclebin\event\course_bin_item_deleted
\core\event\insights_viewed
\core\event\prediction_action_started
\assignsubmission_file\event\assessable_uploaded
\assignsubmission_file\event\submission_created
\mod_assign\event\assessable_submitted
\assignsubmission_file\event\submission_updated
\core\event\calendar_event_updated
\mod_assign\event\grading_table_viewed
\mod_resource\event\course_module_viewed
\assignsubmission_comments\event\comment_created
\core\event\calendar_event_deleted
\mod_assign\event\grading_form_viewed
\mod_assign\event\remove_submission_form_viewed
\mod_assign\event\submission_status_updated
\core\event\course_created
\core\event\course_section_created
\core\event\enrol_instance_created
\tool_recyclebin\event\course_bin_item_created
\core\event\course_module_deleted
\core\event\course_section_updated
\core\event\course_section_deleted
\giant\event\challenge_viewed
\giant\event\extended_challenge_created
\giant\event\extended_challenge_deleted
\giant\event\noteboard_viewed
\mod_forum\event\course_searched
\core\event\user_loggedinas
\mod_forum\event\course_module_instance_list_viewed
